image_filename,description,label,prob
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second91_frame2286.jpg,chess players playing a game of chess in a room with a large screen,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second96_frame2424.jpg,arafed man in a suit and tie holding his head in his hands,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second96_frame2411.jpg,two men playing chess in front of a black backdrop,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second96_frame2405.jpg,two men playing chess in front of a black backdrop,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second95_frame2399.jpg,two men playing chess in front of a black backdrop,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second95_frame2393.jpg,two men playing chess in front of a black backdrop,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second94_frame2368.jpg,two men playing chess in a dark room with a black backdrop,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second94_frame2361.jpg,chess player in white shirt playing a game of chess with a man in a white shirt,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second94_frame2355.jpg,chess player in white shirt playing a game of chess with a man in a blue shirt,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second93_frame2349.jpg,chess player in white shirt playing a game of chess with another player,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second93_frame2343.jpg,chess player in white shirt playing a game of chess with a man in a suit,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second93_frame2330.jpg,chess player in a pink shirt and a man in a pink shirt,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second91_frame2280.jpg,chess players playing a game of chess in a room with a large poster,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second95_frame2380.jpg,two men playing chess in a dark room with a black backdrop,0,1.0
