start,end,text,negative,neutral,positive
"00:00:00,000","00:00:05,459",Chess Grand Masters seen as calculative machines,0.11704444885253906,0.8136058449745178,0.06934978067874908
"00:00:02,759","00:00:08,039",Ding Lee Ren's loss made people realize the human element,0.3398074805736542,0.614848256111145,0.04534435272216797
"00:00:05,459","00:00:10,859",Ding is beloved in the chess community,0.005141777452081442,0.0768812820315361,0.9179769158363342
"00:00:08,039","00:00:13,798",Ding is the highest rated Chinese Grandmaster in history,0.007276427466422319,0.17539504170417786,0.8173285126686096
"00:00:10,859","00:00:16,079",Ding became the highest rated Blitz player in the world,0.006499325390905142,0.23082034289836884,0.7626803517341614
"00:00:13,798","00:00:17,879",Ding's personality attracts people,0.005379087757319212,0.10404863953590393,0.8905722498893738
"00:00:16,079","00:00:19,320",Ding is known for his humility and emotions,0.012334633618593216,0.2862468361854553,0.7014185190200806
"00:00:17,879","00:00:21,179",Ding competes for the world championship,0.009316138923168182,0.7481011152267456,0.24258270859718323
"00:00:19,320","00:00:23,939",Ding tries his best under great stress,0.057044897228479385,0.3851705491542816,0.5577845573425293
"00:00:21,179","00:00:25,618",Ding keeps things respectful and lighthearted in interviews,0.013742971234023571,0.31019800901412964,0.6760590076446533
"00:00:23,939","00:00:27,839",Ding drew a match despite leaked preparation,0.14777155220508575,0.8086093664169312,0.04361910745501518
"00:00:25,618","00:00:29,759",Ding's integrity is worthy of respect,0.011566804721951485,0.1722482442855835,0.8161849975585938
"00:00:27,839","00:00:32,219",Ding receives an explosion of support after the leak,0.01851559430360794,0.5890966653823853,0.3923877775669098
"00:00:29,760","00:00:34,439",Ding is an underdog worth supporting in the tournament,0.04826417192816734,0.4625438451766968,0.4891919195652008
